UF,Município,Zona,Local de votação,Eleitorado,Com biometria,Com biometria (%),Com nome social,Com deficiência,Data de carga
SP,ITAPEVI,359,CEMEB ANTÔNIO CARLOS GOMES,352,187,0.5313,2,5,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB ANTÔNIO GONÇALVES DIAS,2303,753,0.327,3,14,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB BEMVINDO MOREIRA NERY,7254,2528,0.3485,3,42,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB CARLOS DRUMMOND DE ANDRADE,1478,626,0.4235,1,16,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB CÂNDIDO PORTINARI,857,483,0.5636,1,9,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB DONA FLORIZA NUNES DE CAMARGO,3210,1114,0.347,1,17,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB DONA MARIA RONCAGLI MICHELOTTI,2730,1038,0.3802,3,19,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB DR. ANTONIO MANOEL DE OLIVEIRA,3041,848,0.2789,3,5,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB DRA. ZILDA ARNS NEUMANN,1981,1167,0.5891,3,19,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB EDUARDO JOÃO DA SILVA,625,432,0.6912,0,5,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB ENGENHEIRO JOÃO PEDRO CARDOSO,6,6,1,0,0,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB JORN. JOÃO VALÉRIO DE PAULA NETO,4334,1536,0.3544,3,28,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB JOSÉ DOS SANTOS NOVAES,3679,1226,0.3332,0,20,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB JOÃO GUIMARÃES ROSA,3070,1292,0.4208,3,23,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB MAESTRO GILBERTO DE PINHO,2368,733,0.3095,0,13,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB MAESTRO HEITOR VILLA LOBOS,2609,1222,0.4684,2,14,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB MANOELA SANCHES CASAGRANDE,837,350,0.4182,0,2,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB MANUEL BANDEIRA,2873,1282,0.4462,4,17,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB MONTEIRO LOBATO,4297,1492,0.3472,0,22,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB MÁRIO TOMAZ DE OLIVEIRA,2417,1079,0.4464,3,24,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB ORLANDO VILLAS BÔAS,398,161,0.4045,0,5,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB PRES. TANCREDO DE ALMEIDA NEVES,1941,715,0.3684,0,14,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB PROF BENEDICTO ANTÔNIO DOS SANTOS,1800,643,0.3572,1,2,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB PROF. EDEVALDO CARAMEZ,391,346,0.8849,0,1,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB PROF. EVANY CAMARGO RIBEIRO,1318,704,0.5341,1,14,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB PROF. FLORESTAN FERNANDES,501,366,0.7305,1,6,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB PROF. JOSSEI TODA,1499,663,0.4423,0,9,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB PROF. PAULO MARIANO DE ARRUDA,1315,738,0.5612,0,9,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB PROFA. MARIA ZIBINA DE CARVALHO,683,550,0.8053,0,6,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB VER. UBIRATAN JOSÉ CHALUPPE,176,130,0.7386,1,1,2022-08-26 11:28:42
SP,ITAPEVI,359,CEMEB VICTOR SOARES DE CAMARGO,980,333,0.3398,0,6,2022-08-26 11:28:42
SP,ITAPEVI,359,E.E. PROFA. CELINA DE BARROS BAIRÃO,5876,2119,0.3606,2,27,2022-08-26 11:28:42
SP,ITAPEVI,359,EE AIR FERREIRA DO NASCIMENTO,1472,773,0.5251,1,16,2022-08-26 11:28:42
SP,ITAPEVI,359,EE AMERICO VALENTIN CHRISTIANINI,4324,1382,0.3196,1,22,2022-08-26 11:28:42
SP,ITAPEVI,359,EE CLARO CAMARGO RIBEIRO,2568,823,0.3205,0,11,2022-08-26 11:28:42
SP,ITAPEVI,359,EE DR JOSE NEYDE CESAR LESSA,5312,2130,0.401,0,24,2022-08-26 11:28:42
SP,ITAPEVI,359,EE DR RAUL BRIQUET,5645,2301,0.4076,2,33,2022-08-26 11:28:42
SP,ITAPEVI,359,EE ELIZA OLIVEIRA RIBEIRO,3178,1367,0.4301,0,14,2022-08-26 11:28:42
SP,ITAPEVI,359,EE JOSÉ CHALUPPE,1035,777,0.7507,1,11,2022-08-26 11:28:42
SP,ITAPEVI,359,EE JOSÉ SÉRGIO PEREIRA - PROF.,4696,2460,0.5239,1,27,2022-08-26 11:28:42
SP,ITAPEVI,359,EE JOÃO NASCIF CHALUPP,2737,1275,0.4658,2,11,2022-08-26 11:28:42
SP,ITAPEVI,359,EE MARECHAL CANDIDO RONDON,3667,1291,0.3521,2,20,2022-08-26 11:28:42
SP,ITAPEVI,359,EE NACIF AMIN CHALUPE,2462,872,0.3542,0,8,2022-08-26 11:28:42
SP,ITAPEVI,359,EE PADRE ROMEU MECCA,7406,2261,0.3053,3,30,2022-08-26 11:28:42
SP,ITAPEVI,359,EE PAULO DA COSTA PAN CHACON,4690,1741,0.3712,3,19,2022-08-26 11:28:42
SP,ITAPEVI,359,EE PAULO DE ABREU,5916,1972,0.3333,3,15,2022-08-26 11:28:42
SP,ITAPEVI,359,EE PROF DIMARAES ANTONIO SANDEI,5066,1745,0.3445,1,23,2022-08-26 11:28:42
SP,ITAPEVI,359,EE PROF JOSÉ THEOTONIO DOS SANTOS,1403,353,0.2516,0,4,2022-08-26 11:28:42
SP,ITAPEVI,359,EE PROFA ELIANA ANDRES DE ALMEIDA SOUZA,3849,1209,0.3141,2,16,2022-08-26 11:28:42
SP,ITAPEVI,359,EE PROFA IGNES AMELIA OLIVEIRA MACHADO,5607,1755,0.313,5,44,2022-08-26 11:28:42
SP,ITAPEVI,359,EE PROFA IRACEMA RAUEN MACIEL,3944,1389,0.3522,1,22,2022-08-26 11:28:42
SP,ITAPEVI,359,EE PROFA MARIA SOARES SANTOS,4664,1933,0.4145,0,21,2022-08-26 11:28:42
SP,ITAPEVI,359,EE PROFA MARY MALLET CYRINO,5839,2161,0.3701,1,14,2022-08-26 11:28:42
SP,ITAPEVI,359,ESCOLA DO FUTURO - ETI - GOV. ANDRÉ FRANCO MONTORO,3484,981,0.2816,0,10,2022-08-26 11:28:42
SP,ITAPEVI,359,ESCOLA DO FUTURO - ETI - PADRE GIOVANNI CORNARO,1794,786,0.4381,0,15,2022-08-26 11:28:42
SP,ITAPEVI,359,ESCOLA DO FUTURO - ETI - PROF. IRANY TOLEDO DE MORAIS,3172,763,0.2405,0,8,2022-08-26 11:28:42
SP,ITAPEVI,359,ESCOLA DO FUTURO - ETI - TARSILA DO AMARAL,2760,1051,0.3808,0,25,2022-08-26 11:28:42
